[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3895749970.01412,06/12/2023,4:46 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,906,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MoS2,SAMPLE_MATERIAL
INFO,First Batch 2022,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3895749996.866,49.7840985281982,3000.02807617188,,,2,,,,17.7779997499585,,,,,,,49.7840985281982,49.7840985281982,3000.02807617188,3000.02807617188,,,0.998387932777405,,,,,50.4672088623047,0,0,0,0.03814697265625,33.2355842590332,,,,,,,,,,,,,,,,
sample offset = 35 mm touchdown = 11.7699997499585 mm,3895750006.086,49.7869186401367,3000.0390625,-2.52266921055091E-5,2.50589016364225E-7,1,0.499626677034896,40.0298881530762,1.9955943442767,17.7599992603064,-0.000262473445396797,-6.88961071275248E-5,0.25,-1.93107203601504E-6,-2.51712653331954E-5,-2.11538931688721E-6,49.7869186401367,49.7869186401367,3000.0390625,3000.0390625,51.02470973539,20.3752118266414,0.998278439044952,0,0,0,20,50.474681854248,1,4,3,2.22198486328125,36.1681327819824,,,,,,,,,,,,,,,,
,3895750012.8895,49.7898502349854,2999.57055664063,-2.48445059955537E-5,3.2432399369313E-7,1,0.499626677034896,40.0298881530762,1.9956267626007,17.7599992603064,-0.000257584817075807,-7.2880915153636E-5,0.25,-2.37826327962786E-6,-2.47864004935027E-5,-2.5590150242056E-6,49.7895622253418,49.7895622253418,2999.0908203125,3000.05029296875,51.2943715745247,20.3712589918182,0.998201847076416,0,0,0,20,50.4802360534668,1,6,3,2.21878051757813,35.6793746948242,,,,,,,,,,,,,,,,
,3895750013.249,49.7901554107666,2997.30737304687,-2.56204872511065E-5,4.5421523225677E-7,1,0.499626677034896,40.0298881530762,1.9956267626007,17.7599992603064,-0.000266959705322842,-6.7862781834556E-5,0.25,-1.76125755440808E-6,-2.55657038513387E-5,-1.94877981706905E-6,49.7901382446289,49.7901382446289,2995.52392578125,2999.0908203125,51.4225586516785,20.3712589918182,0.998154044151306,0,0,0,20,50.4802360534668,1,6,3,2.20962524414062,36.1681327819824,,,,,,,,,,,,,,,,
,3895750013.75,49.7901725769043,2993.05517578125,-2.4959765672324E-5,3.55475109637651E-7,1,0.499626677034896,40.0298881530762,1.99562036459638,17.7599992603064,-0.000258829068539236,-7.29439583547657E-5,0.25,-2.36325123362603E-6,-2.49015796026183E-5,-2.54488337133623E-6,49.7901725769043,49.7901725769043,2990.58642578125,2995.52392578125,51.8868459921016,20.3728879826598,0.997998058795929,0,0,0,20,50.4812393188477,1,6,3,2.22137451171875,35.6793746948242,,,,,,,,,,,,,,,,
,3895750014.2415,49.7902793884277,2988.11218261719,-2.49319988037916E-5,3.1357207835593E-7,1,0.499626677034896,40.0298881530762,1.99562036459638,17.7599992603064,-0.00025832807197427,-7.40314133480224E-5,0.25,-2.47137097830986E-6,-2.48730499699547E-5,-2.65262024086884E-6,49.7902793884277,49.7902793884277,2985.63793945313,2990.58642578125,51.3514304564285,20.3728879826598,0.998163104057312,0,0,0,20,50.4819717407227,1,6,3,2.22518920898438,36.1681327819824,,,,,,,,,,,,,,,,
,3895750014.7405,49.7902164459229,2983.12463378906,-2.45879758746238E-5,3.75863812768322E-7,1,0.499626677034896,40.0298881530762,1.99567628472816,17.7599992603064,-0.000255353801753045,-6.9810781438781E-5,0.25,-2.13391679889216E-6,-2.45320889020959E-5,-2.31315824564961E-6,49.7902793884277,49.7902793884277,2980.611328125,2985.63793945313,51.5085377887939,20.3726495654928,0.998059213161469,0,0,0,20,50.4819717407227,1,6,3,2.20672607421875,36.6568908691406,,,,,,,,,,,,,,,,
,3895750015.2445,49.7902183532715,2978.17663574219,-2.47865849035183E-5,2.79081468941722E-7,1,0.499626677034896,40.0298881530762,1.99567628472816,17.7599992603064,-0.000257477933451308,-7.00368784401045E-5,0.25,-2.11914297057158E-6,-2.47304790856798E-5,-2.29988376438928E-6,49.790153503418,49.790153503418,2975.74194335937,2980.611328125,51.9384334743709,20.3726495654928,0.997946500778198,0,0,0,20,50.4820327758789,1,6,3,2.22000122070313,34.7018585205078,,,,,,,,,,,,,,,,
,3895750015.746,49.7906188964844,2972.65515136719,-2.42352831452542E-5,4.2221616548744E-7,1,0.499626677034896,40.0298881530762,1.99565912146995,17.7599992603064,-0.000251825035590428,-6.80615234450195E-5,0.25,-2.0324886127752E-6,-2.41807161315235E-5,-2.20927342701185E-6,49.790283203125,49.790283203125,2970.6904296875,2974.61987304687,51.8618338794863,20.3714799025519,0.997992992401123,0,0,0,20,50.4822158813477,1,6,3,2.21939086914062,36.6568908691406,,,,,,,,,,,,,,,,
,3895750016.237,49.7911052703857,2968.17626953125,-2.44374054206314E-5,4.5364454184589E-7,1,0.499626677034896,40.0298881530762,1.99565912146995,17.7599992603064,-0.000253206371626051,-7.25730160009678E-5,0.25,-2.42318924725265E-6,-2.43796049059058E-5,-2.60083972466124E-6,49.7909545898438,49.7909545898438,2965.662109375,2970.6904296875,51.871213421717,20.3714799025519,0.998050391674042,0,0,0,20,50.4829978942871,1,6,3,2.21923828125,35.190616607666,,,,,,,,,,,,,,,,
,3895750016.737,49.7912559509277,2962.66552734375,-2.4168506922844E-5,3.92222269525883E-7,1,0.499626677034896,40.0298881530762,1.99568637264521,17.7599992603064,-0.000251341439331912,-6.67390140968663E-5,0.25,-1.91924841322887E-6,-2.4114884476525E-5,-2.09572081072661E-6,49.7912559509277,49.7912559509277,2960.66357421875,2964.66748046875,51.4389728505824,20.3700375572999,0.998024225234985,0,0,0,20,50.4834518432617,1,6,3,2.21160888671875,35.6793746948242,,,,,,,,,,,,,,,,
,3895750017.229,49.79150390625,2958.12438964844,-2.42786742594782E-5,4.79985271234886E-7,1,0.499626677034896,40.0298881530762,1.99568637264521,17.7599992603064,-0.000251856718307358,-7.05015968213392E-5,0.25,-2.25573399345794E-6,-2.42223690492912E-5,-2.43247671701147E-6,49.79150390625,49.79150390625,2955.58520507812,2960.66357421875,51.7422447160439,20.3700375572999,0.998075783252716,0,0,0,20,50.4826164245605,1,6,3,2.2216796875,35.6793746948242,,,,,,,,,,,,,,,,
,3895750017.7385,49.7917423248291,2953.13879394531,-2.42699024818881E-5,3.22431967084938E-7,1,0.499626677034896,40.0298881530762,1.9957116159642,17.7599992603064,-0.00025165968662094,-7.10752468410364E-5,0.25,-2.31161491968993E-6,-2.42131928710357E-5,-2.48820103267619E-6,49.79150390625,49.79150390625,2950.6923828125,2955.58520507812,51.8086831401786,20.3717435239487,0.997960984706879,0,0,0,20,50.484001159668,1,6,3,2.230224609375,36.1681327819824,,,,,,,,,,,,,,,,
,3895750018.2365,49.7920455932617,2948.20031738281,-2.46007834759144E-5,3.97195507425701E-7,1,0.499626677034896,40.0298881530762,1.9957116159642,17.7599992603064,-0.000255912482816232,-6.75354145009261E-5,0.25,-1.91585138428876E-6,-2.45464729255764E-5,-2.095540631768E-6,49.7919807434082,49.7919807434082,2945.70825195313,2950.6923828125,51.9306171891786,20.3717435239487,0.998037040233612,0,0,0,20,50.4837493896484,1,6,3,2.2210693359375,35.6793746948242,,,,,,,,,,,,,,,,
